scenario,selectedPRAs,allPilotPRAs,selectedPRAPercent,affectedAreaKm2,studyAreaKm2,affectedStudyAreaPercent,exposedAllHighwaysKm,exposedMotorRoadKm,intersectingRoadFeatures
dry_winter,1981,8236,24.052938319572608,45.12115701035077,208.83037133667193,21.606606702627268,10.59395031592008,9.927023396153585,81
wet_spring,3655,8236,44.37833899951433,34.92626596420293,208.83037133667193,16.724706152964476,0.46347447149050414,0.46347447149050414,6
